Name,Date,Time (East Coast),Location,Crewed or Uncrewed,Launched?,High Temp,Low Temp,Ave Temp,Temp at Launch Time,Hist High Temp,Hist Low Temp,Hist Ave Temp,Percipitation at Launch Time,Hist Ave Percipitation,Wind Direction,Max Wind Speed,Visibility,Wind Speed at Launch Time,Hist Ave Max Wind Speed,Hist Ave Visibility,Sea Level Pressure,Hist Ave Sea Level Pressure,Day Length,Condition,Notes
,23-Aug-65,,Cape Canaveral,,,90,73,82,,90,73,82,0,0.24,E,9,10,,,,30.06,,12:56,Cloudy,
,2-Dec-65,,Cape Canaveral,,,84,62,72.5,,76,56,66,0.05,0.08,W,15,20,,,,30.08,,10:28,Rain,
,3-Dec-65,,Cape Canaveral,,,68,51,60.74,,75,56,66,0,0.09,NE,17,20,,,,30.17,,10:27,Partly Cloudy,
Gemini 7,4-Dec-65,20:03,Cape Canaveral,Crewed,Y,77,67,71.52,71,75,55,65,0,0.08,E,15,10,12,,,30.19,,10:27,Cloudy,
,5-Dec-65,,Cape Canaveral,,,73,0,48.91,,75,55,65,1.2,0.09,E,14,7,,,,30.1,,10:26,T-Storm,
,6-Dec-65,,Cape Canaveral,,,66,0,53.52,,75,55,65,0,0.09,NW,17,20,,,,30.11,,10:25,Cloudy,
,14-Mar-66,,Cape Canaveral,,,79,0,46.55,,76,55,66,0,0.11,S,29,20,,,,30.02,,11:57,Cloudy,
,15-Mar-66,,Cape Canaveral,,,81,0,56.14,,77,55,66,0,0.11,S,20,20,,,,29.96,,11:59,Cloudy,
Gemini 8,16-Mar-66,17:41,Cape Canaveral,Crewed,Y,85,0,64.81,80,77,55,66,0,0.11,S,16,15,4,,,29.95,,12:00,Cloudy,
,17-Mar-66,,Cape Canaveral,,,76,0,65.56,,77,55,66,0,0.12,NE,14,10,,,,30.04,,12:02,Partly Cloudy,
,18-Mar-66,,Cape Canaveral,,,77,67,71.76,,77,55,66,0,0.11,SE,18,10,,,,30.11,,12:04,Fair,
,1-Jun-66,,Cape Canaveral,,,88,75,81.5,,88,70,79,0,0.19,SE,17,20,,,,29.87,,13:48,Cloudy,
,2-Jun-66,,Cape Canaveral,,,88,75,80.96,,88,71,79,0,0.2,E,16,15,,,,29.88,,13:49,Partly Cloudy,
Gemini 9A,3-Jun-66,14:39,Cape Canaveral,Crewed,Y,87,0,74.4,83,88,71,79,0,0.19,E,15,15,6,,,29.96,,13:49,Cloudy,
,4-Jun-66,,Cape Canaveral,,,86,79,81.79,,88,71,80,0,0.2,E,17,10,,,,29.96,,13:50,Partly Cloudy,
,5-Jun-66,,Cape Canaveral,,,87,0,78.54,,88,71,80,0.1,0.2,NE,17,15,,,,29.88,,13:50,Rain,
,25-May-20,,Cape Canaveral,,,79,72,74.91,,87,69,78,0.16,0.15,E,18,10,,,,29.92,,13:43,Light Rain,
,26-May-20,,Cape Canaveral,,,85,74,78,,87,69,78,1.68,0.14,SW,17,10,,,,29.87,,13:43,Cloudy,T-Storm at night
Space X Dragon,27-May-20,16:33,Cape Canaveral,Crewed,N,86,70,75.02,74,87,70,79,0.28,0.15,S,32,10,25,,,29.98,,13:44,Heavy T-Storm,
,28-May-20,,Cape Canaveral,,,87,71,79.36,,87,70,79,0,0.15,S,20,10,,,,30.08,,13:45,Thunder,
,29-May-20,,Cape Canaveral,,,86,72,79.5,,88,70,79,0.01,0.16,SE,18,10,,,,30.05,,13:46,Fair,
,28-May-20,,Cape Canaveral,,,87,71,79.36,,87,70,79,0,0.15,S,20,10,,,,30.08,,13:45,Thunder,
,29-May-20,,Cape Canaveral,,,86,72,79.5,,88,70,79,0.01,0.16,SE,18,10,,,,30.05,,13:46,Fair,
Space X Dragon,30-May-20,20:22,Cape Canaveral,Crewed,Y,87,75,79.69,80,88,70,79,0,0.16,SE,16,10,7,,,30.03,,13:47,Fair,Rain before launch
,31-May-20,,Cape Canaveral,,,87,72,79.7,,88,70,79,0.46,0.16,E,13,10,,,,30.01,,13:47,Cloudy,
,1-Jun-20,,Cape Canaveral,,,85,76,80.31,,88,70,79,0,0.19,E,16,10,,,,30.08,,13:48,Cloudy,
